year,avgTemp,minTemp,maxTemp,rainFall,avgPrice
20110101,-6.8,-10.4,-2.9,0.4,4010
20110102,-5.4,-8.5,-1.2,0,3988
20110103,-4.5,-8.5,-0.3,1.8,4202
20110104,-3.9,-7.4,-1.7,0,3792
20110105,-4,-7.7,-1.8,0,3792
20110106,-7.6,-9.8,-4.6,0.1,4137
20110107,-7,-10.6,-2.9,0,4220
20110108,-3.6,-8.2,0.1,0,4220
20110109,-7,-10.3,-0.3,0,4415
20110110,-8.2,-11.8,-4.6,0,4345
20110111,-5.4,-7.8,-2.7,0.4,4485
20110112,-8.2,-11.1,-4.9,0,4485
20110113,-5.9,-11.1,-0.6,0,4295
20110114,-3.8,-6.9,0.3,0.1,4525
20110115,-12.2,-15.7,-6.9,0.2,4662
20110116,-14.5,-17.8,-10.7,0.1,4658
20110117,-9.7,-14.1,-4.8,0,4530
20110118,-6.7,-10.8,-2.7,0,4530
20110119,-6.6,-10,-3.2,0,4488
20110120,-8.2,-10.5,-4.7,0,4252
20110121,-6.8,-9.7,-3.2,0,4307
20110122,-4.3,-7.1,-0.8,0,4480
20110123,-4.5,-7.1,-2.1,1.4,5015
20110124,-8.8,-10.9,-5.8,0.3,4872
20110125,-8.4,-11.9,-4.4,0,4788
20110126,-8.5,-10.7,-5.2,0,4260
20110127,-8.9,-11.5,-5.7,0,4363
20110128,-7.9,-10.5,-4.3,0,4215
20110129,-9.1,-11.5,-5.5,0.2,4050
20110130,-10.1,-13.6,-5.7,0.2,3967
20110131,-6.2,-12.7,-1.8,0,3778
20110201,-0.2,-4.2,5,0,3778
20110202,1.3,-2.8,7,0,4065
20110203,1.5,-1.3,4.9,0,4065
20110204,1.2,-0.5,3.5,0,4095
20110205,1.1,-0.8,5.5,0,4233
20110206,0.3,-2.1,2.7,0,4095
20110207,0.3,-2.8,4.2,0,3923
20110208,2.9,-0.5,8.5,1.3,3843
20110209,-1.2,-4.1,2.1,0,3495
20110210,-2.1,-5.6,2.7,0.3,3522
20110211,-2.9,-6.2,1.8,4.5,3833
20110212,-5.9,-9.2,-1.8,1.9,3907
20110213,-4.8,-9,-0.2,0,3852
20110214,-3.4,-6.7,-0.2,3.4,4095
20110215,-1.8,-5.5,2.9,0,4083
20110216,-0.6,-5,4.3,1.5,4112
20110217,0.9,-2,4.7,3.8,4023
20110218,1.6,-3,7.3,0,4153
20110219,1.4,-2.6,7,0,3940
20110220,5.3,-2.1,12.8,0,3873
20110221,6.2,1.4,12.3,0,3838
20110222,6.2,0.7,13,0,3803
20110223,5.6,0.6,12,0,3803
20110224,6.1,2.8,10.5,0,3920
20110225,2,-0.8,6.3,0,3825
20110226,6.2,-0.4,13.2,0.1,3825
20110227,4.2,1.8,7.4,43,3825
20110228,2.8,1,4.8,3.8,3733
20110301,0.5,-2.7,3.7,3.2,3332
20110302,-2.1,-4.2,1.6,0,3260
20110303,-2.1,-5.5,2.5,0,3260
20110304,0.1,-4.5,6,0,3117
20110305,2.1,-1.8,6.8,0,3100
20110306,3.4,1.2,7.4,0,3005
20110307,1.6,-1.2,5.8,0,3005
20110308,1.6,-2.3,6.2,0,3165
20110309,0.2,-2.4,4.4,0,3108
20110310,1.4,-3.4,4.9,0,3108
20110311,4.6,-0.3,9.8,0,2828
20110312,7.8,1.9,13.4,0,2656
20110313,10.7,8.5,16.2,0,2965
20110314,6.7,4.4,10.3,0,2940
20110315,1.5,-2.3,5.7,0,2912
20110316,-0.4,-3.1,3.2,0,2657
20110317,0.8,-3.5,6.1,0,2362
20110318,5.7,-1.5,12.5,0,2242
20110319,8.8,5.5,13.7,0,2242
20110320,6.9,2.9,11.4,15.2,2253
20110321,8,3.8,13,0.6,2357
20110322,1.8,-1,6.1,0.4,2357
20110323,2.2,-2.2,7.3,0,2228
20110324,2.9,0.1,8,2.8,1907
20110325,2.2,-0.8,6.5,0.3,1868
20110326,3.6,-0.6,8.6,0,1527
20110327,5.1,0.9,9.7,0,1527
20110328,5.2,3.1,8.4,0.4,1717
20110329,4.8,1.7,9.1,0,2213
20110330,7.3,2.3,13.6,0,2277
20110331,9.2,3.3,16.8,0,2160
20110401,9.1,4.3,14.9,0,2137
20110402,8.9,5.3,12.8,0.1,2080
20110403,9.6,4.9,15.5,2.6,1843
20110404,10.1,4.5,16.7,0,1838
20110405,10.7,5.1,17.1,0,1895
20110406,10.6,5.2,16.6,0.7,1895
20110407,9.6,8.5,10.7,17.1,1880
20110408,11.4,7.4,17.3,3.3,1600
20110409,9.9,6.8,15,0,1795
20110410,10.8,8.2,14.5,0.5,1743
20110411,10.4,6,15.4,2.7,1782
20110412,10.2,4.9,15.5,0,1782
20110413,11.3,5.7,17.4,0,1962
20110414,12.4,6.6,18.8,0,1840
20110415,12.2,9.4,19,0.1,1808
20110416,12.1,5.9,18.4,0.1,1792
20110417,12,8,18.4,0,1637
20110418,6.7,5.8,10.7,2.7,1637
20110419,10.8,6.6,16.2,0.7,1637
20110420,11.2,6.3,16.8,0,1677
20110421,13.5,8,18,0,1598
20110422,8.9,7.4,14.5,26.8,1633
20110423,9.7,6.1,14.2,0,1573
20110424,9.7,6.1,13.9,0.4,1610
20110425,11.3,7.2,15.7,0.3,1610
20110426,10.5,9.1,11.4,11.9,1610
20110427,11.4,8.7,14.2,2.4,1557
20110428,10.4,7.3,15.3,0.7,1557
20110429,13.2,7.3,18.4,0.6,1533
